observation_id,video_id,segment_id,slab_activity_type,floor_cycle_stage,labour_count_visible,min_visible_labour,max_visible_labour,dominant_visible_labour,congestion_level,reinforcement_complexity,conduit_presence,slab_opening_presence,access_condition,material_movement_method,pour_sequence,surface_condition,safety_exposure,edge_protection_visible,workflow_sequence,task_duration_observed,duration_validity,evidence_level,coding_confidence,source_type,data_use,visible_segment_duration_sec,duration_validity_reason,usable_for_productivity,is_duplicate_or_parallel,duplicate_group_id,independent_sample,parallel_source_note,visible_duration_validity
OBS-M01-001,M01,M01-S01,formwork,pre-pour,3,2,5,3,medium,low,unknown,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,grid_line>thesi>vertical_rebar_prep,79,invalid,E2,medium,video_estimated,structured_coding,79,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,yes,Primary DND slab-cycle documentary,invalid
OBS-M01-002,M01,M01-S02,formwork,pre-pour,4,3,6,4,medium,medium,unknown,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,thesi_support>vertical_rebar,140,invalid,E2,medium,video_estimated,structured_coding,140,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,no,Primary DND slab-cycle documentary,invalid
OBS-M01-003,M01,M01-S03,formwork,pre-pour,6,4,8,6,high,medium,low,unknown,congested,manual,unknown,pre-pour,medium,unknown,wall_panel_erection>deck_panel,191,invalid,E1,medium,video_observed,structured_coding,191,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,no,Primary DND slab-cycle documentary,invalid
OBS-M01-004,M01,M01-S04,rebar,pre-pour,5,4,7,5,medium,medium,unknown,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,beam_reinforcement_before_slab_rebar,50,invalid,E2,medium,video_estimated,structured_coding,50,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,no,Primary DND slab-cycle documentary,invalid
OBS-M01-005,M01,M01-S05,rebar,pre-pour,6,5,8,6,high,high,unknown,unknown,congested,manual,unknown,pre-pour,high,unknown,slab_reinforcement_with_cover,115,invalid,E2,medium,video_estimated,structured_coding,115,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,no,Primary DND slab-cycle documentary,invalid
OBS-M01-006,M01,M01-S06,MEP,pre-pour,3,2,4,3,medium,medium,high,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,electrical_conduit_and_plumbing,30,invalid,E2,low,video_estimated,structured_coding,30,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,no,Primary DND slab-cycle documentary,invalid
OBS-M01-007,M01,M01-S07,formwork,pre-pour,4,3,6,4,medium,medium,medium,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,slab_supporting>multi_discipline_check,52,invalid,E2,medium,video_estimated,structured_coding,52,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,no,Primary DND slab-cycle documentary,invalid
OBS-M01-008,M01,M01-S08,concrete_pour,pour,5,4,7,5,medium,medium,medium,unknown,open,pump,continuous,wet_concrete,high,unknown,final_casting>vibration>level_check,27,invalid,E2,low,video_estimated,structured_coding,27,edited or narrated footage; visible duration only,no,no,DUP-MIVAN-SLAB-7DAY,no,Primary DND slab-cycle documentary,invalid
OBS-M02-001,M02,M02-S01,formwork,pre-pour,3,2,4,3,low,low,unknown,unknown,open,manual,unknown,pre-pour,low,unknown,ground_survey>site_layout,591,invalid,E2,medium,video_estimated,structured_coding,591,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-002,M02,M02-S02,formwork,pre-pour,4,3,6,4,medium,low,unknown,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,setting_out_mivan_at_site,171,invalid,E2,medium,video_estimated,structured_coding,171,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-003,M02,M02-S03,formwork,pre-pour,3,2,5,3,medium,low,unknown,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,grid_line_drawing_reading,190,invalid,E2,medium,video_estimated,structured_coding,190,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-004,M02,M02-S04,rebar,pre-pour,5,4,7,5,medium,medium,unknown,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,vertical_rebar_fixing,47,invalid,E1,high,video_observed,structured_coding,47,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-005,M02,M02-S05,formwork,pre-pour,8,6,12,8,high,medium,low,unknown,congested,manual,unknown,pre-pour,high,unknown,formwork_erection>slab_reinforcement,208,invalid,E1,high,video_observed,structured_coding,208,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-006,M02,M02-S06,formwork,pre-pour,7,5,10,7,high,medium,low,unknown,congested,manual,unknown,pre-pour,high,unknown,external_side_wall_erection,101,invalid,E1,high,video_observed,structured_coding,101,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-007,M02,M02-S07,formwork,pre-pour,4,3,6,4,medium,medium,medium,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,grid_line>soffit>verticality>kicker_checks,537,invalid,E2,medium,video_estimated,structured_coding,537,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-008,M02,M02-S08,formwork,pre-pour,3,2,5,3,medium,low,unknown,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,kicker_level_deviation_correction,135,invalid,E2,medium,video_estimated,structured_coding,135,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-009,M02,M02-S09,MEP,pre-pour,4,3,6,4,medium,medium,high,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,switch_boxes>plumbing_grooves>sleeves>slab_electric,158,invalid,E1,high,video_observed,structured_coding,158,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-010,M02,M02-S10,concrete_pour,pour,8,6,12,8,medium,medium,medium,unknown,open,pump,continuous,wet_concrete,high,yes,concrete_pour_of_mivan_slab,205,invalid,E1,high,video_observed,structured_coding,205,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-011,M02,M02-S11,finishing,post-cast,5,4,7,5,medium,medium,medium,unknown,partially_restricted,manual,unknown,partially_finished,medium,unknown,post_concrete_curing_and_finish,54,invalid,E2,medium,video_estimated,structured_coding,54,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-012,M02,M02-S12,finishing,post-cast,3,2,5,3,low,low,unknown,unknown,open,manual,unknown,hardened,medium,unknown,post_concreting_survey_issues,172,invalid,E2,medium,video_estimated,structured_coding,172,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-013,M02,M02-S13,stripping,post-cast,6,5,9,6,medium,low,unknown,unknown,partially_restricted,manual,unknown,hardened,medium,unknown,deshuttering_of_mivan_panels,99,invalid,E1,high,video_observed,structured_coding,99,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-014,M02,M02-S14,formwork,post-cast,3,2,4,3,medium,low,unknown,unknown,partially_restricted,manual,unknown,hardened,medium,unknown,bracket_installation,33,invalid,E2,medium,video_estimated,structured_coding,33,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-015,M02,M02-S15,finishing,post-cast,2,2,3,2,low,low,unknown,unknown,partially_restricted,manual,unknown,hardened,low,unknown,wall_tie_hole_filling,26,invalid,E2,medium,video_estimated,structured_coding,26,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M02-016,M02,M02-S16,finishing,post-cast,3,2,5,3,low,low,unknown,unknown,open,manual,unknown,finished,low,unknown,building_level_checking_wrt_benchmark,210,invalid,E2,medium,video_estimated,structured_coding,210,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M05-003,M05,M05-S03,formwork,pre-pour,6,4,8,6,high,medium,unknown,unknown,congested,manual,unknown,pre-pour,medium,unknown,wall_panel_erection>deck_panel,176,invalid,E2,medium,video_estimated,structured_coding,176,edited or narrated footage; visible duration only,no,yes,DUP-MIVAN-SLAB-7DAY,no,Parallel Civil Construct upload of M01 workflow,invalid
OBS-M05-005,M05,M05-S05,rebar,pre-pour,6,4,8,6,high,high,unknown,unknown,congested,manual,unknown,pre-pour,medium,unknown,slab_reinforcement_with_cover,106,invalid,E2,medium,video_estimated,structured_coding,106,edited or narrated footage; visible duration only,no,yes,DUP-MIVAN-SLAB-7DAY,no,Parallel Civil Construct upload of M01 workflow,invalid
OBS-M05-008,M05,M05-S08,concrete_pour,pour,5,3,7,5,medium,high,medium,unknown,partially_restricted,pump,continuous,wet_concrete,high,unknown,final_casting>vibration>level_check,24,invalid,E2,medium,video_estimated,structured_coding,24,edited or narrated footage; visible duration only,no,yes,DUP-MIVAN-SLAB-7DAY,no,Parallel Civil Construct upload of M01 workflow,invalid
OBS-M03-001,M03,M03-S01,formwork,pre-pour,2,1,3,2,low,low,unknown,unknown,open,manual,unknown,pre-pour,low,unknown,component_intro>panel_types>accessories,135,invalid,E2,medium,video_estimated,structured_coding,135,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M03-002,M03,M03-S02,formwork,pre-pour,4,3,6,4,medium,medium,unknown,unknown,partially_restricted,manual,unknown,pre-pour,medium,unknown,assembly>erection>alignment,257,invalid,E2,medium,video_estimated,structured_coding,257,edited or narrated footage; visible duration only,no,no,,yes,,invalid
OBS-M06-001,M06,M06-S01,finishing,post-cast,4,3,6,4,medium,low,unknown,unknown,partially_restricted,manual,unknown,hardened_concrete,medium,unknown,stripping>surface_prep>finishing,240,invalid,E2,medium,video_estimated,structured_coding,240,edited or narrated footage; visible duration only,no,no,,yes,,invalid
